,,,,,,,,,,,"TP, µg/l",,,"SRP, µg/l",,,"TN, mg/l",,"CLA, µg/l",,"Secchi, m","Chloride, mg/l","TSS, mg/l",,"VSS, mg/l",,

Site,Site_ID,Date,Time,Depth,Sonde Depth,"Temp, oC","DO, mg/l","DO, Sat %","SpCond, µS/cm",pH,TP Value,"TP, mg/l",TP RL,SRP Value ug/l,"SRP, mg/l",SRP RL,TN Value mg/l,TN RL,CLA Value ug/l,CLA RL,"Secchi Value, m","Chloride value, mg/l","TSS Value, mg/l",TSS RL,"VSS Value, mg/l",VSS RL,Comments


Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,6/26/2012,10:00,1,1.006,23.53,9.24,108.9,407,8.41,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,6/26/2012,10:00,2,2.003,20.59,0.76,8.4,429,6.89,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,6/26/2012,10:00,2.127999783,2.128,20.52,0.46,5.1,436,6.83,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,7/10/2012,10:00,0,0.302,27.73,8.06,102.6,415,8.33,129.9,0.1299,,10.14,0.01014,,1.95,,51.3,,0.44,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,7/10/2012,10:00,1,1.06,26.99,6.43,80.7,417,8.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,7/10/2012,10:00,1.632999897,1.633,26.79,1.19,14.8,450,7.21,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,7/24/2012,10:00,0,0.34,26.43,7.64,94.9,377,8.03,256.8,0.2568,,11.67,0.01167,,3.52,,159.1,,0.25,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,7/24/2012,10:00,1,1.044,26.02,5.3,65.4,374,7.72,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,7/24/2012,10:00,1.331999898,1.332,25.92,1.4,17.2,415,7.1,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,8/7/2012,10:00,0,0.352,25.63,12.01,147.1,350,8.87,198.8,0.1988,,20.58,0.02058,,2.98,,166.6,,0.25,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,8/7/2012,10:00,1,1.01,24.33,2.82,33.7,366,7.97,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,8/7/2012,10:00,1.316999912,1.317,24.04,0.89,10.6,480,7.31,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,8/21/2012,10:00,0,0.324,21.96,8.21,93.9,375,8.51,180.2,0.1802,,77.02,0.07702,,3.24,,83,,0.3,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,8/21/2012,10:00,1,1.024,21.32,4.1,46.3,379,7.8,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,8/21/2012,10:00,1.225999951,1.226,21.32,0.76,8.6,392,7.39,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,9/5/2012,10:00,0,0.354,24.5,5.78,69.3,404,7.77,239.3,0.2393,,7.59,0.00759,,3.68,,130.3,,0.31,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,9/5/2012,10:00,1,1.014,23.47,0.94,11.1,441,7.03,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,9/5/2012,10:00,1.139999986,1.14,23.46,0.67,7.9,436,6.91,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,9/18/2012,10:00,0,0.337,16.75,9.18,94.5,389,8.34,233,0.233,,5.27,0.00527,6,3.58,,100.3,,0.35,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,9/18/2012,10:00,1,1.009,16.68,0.75,7.7,465,7.3,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,9/18/2012,10:00,1.061999917,1.062,16.72,0.42,4.3,489,7.27,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,10/23/2012,10:00,0,0.248,13.04,11.1,105.5,459,8.04,220.9,0.2209,,8.67,0.00867,,3.61,,83.5,,0.31,,,,,,The time value was made up to allow recording in the WQDB.

Pike-West                                                                                                                                                                                                                                                         ,PK_3RW,10/23/2012,10:00,0.862,0.862,12.86,0.44,4.1,509,7.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,0,0.328,3.88,13.4,102.1,560,8.35,,,,,,,,,,,,61,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,1,1.054,4.2,13.17,101.2,566,8.44,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,2,2.055,4.19,13.19,101.3,568,8.47,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,3,3.002,3.98,12.37,94.5,572,8.39,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,4,4.012,4.11,11.39,87.3,580,8.24,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,5,5.034,4,8.3,63.4,585,8.05,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,6,6.04,3.98,6.99,53.4,589,7.92,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,7,7.05,3.95,4.44,33.9,594,7.73,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,8,8.028,3.99,2.94,22.5,599,7.67,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,9,9.049,4.06,1.97,15.1,607,7.6,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,10,10.002,4.04,1.63,12.5,616,7.57,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,11,11.086,4.23,1.54,11.8,634,7.33,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,12,12.009,4.51,0.89,6.9,669,7.07,,,,,,,,,,,,71,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,2/10/2012,10:00,12.29099941,12.291,4.53,0.67,5.2,699,6.91,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,0,0.509,12.27,11.3,105.6,527,8.26,48.1,0.0481,,3.3,0.0033,6,1.1,,12.8,,2.01,59,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,1,1.002,12.23,10.67,99.7,527,8.26,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,2,1.995,12.17,10.5,97.9,527,8.22,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,3,3.015,12.13,10.44,97.3,527,8.15,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,4,4.018,12.12,10.39,96.9,526,8.14,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,5,5.045,11.64,10.42,96.1,527,8.1,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,6,6.043,11.55,10.22,94,528,8.08,44.7,0.0447,,5.49,0.00549,6,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,7,7.01,11.46,9.52,87.4,529,8,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,8,8.013,11.43,9.21,84.5,529,7.98,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,9,8.999,11.37,9.03,82.7,529,7.99,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,10,9.986,11.13,9.07,82.6,535,7.92,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,11,10.959,8.98,8.18,70.8,603,7.53,92,0.092,,23,0.023,,,,,,,64,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,4/17/2012,10:00,11.74299908,11.743,7.25,3.31,27.5,666,6.76,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,0,0.346,15.31,11.53,115.3,517,8.21,35.5,0.0355,,3.92,0.00392,6,0.78,,12.2,,2.84,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,1,1.041,14.81,11.52,113.9,517,8.3,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,2,2.071,13.92,11.3,109.6,517,8.36,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,3,3.043,13.54,11.21,107.9,517,8.36,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,4,4.085,13.39,11.04,105.8,519,8.35,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,5,5.087,13.28,10.83,103.6,520,8.33,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,6,6.077,12.88,10.26,97.3,524,8.24,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,7,7.065,12.32,8.58,80.3,526,8.12,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,8,8.066,11.64,6.05,55.7,529,7.91,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,9,9.055,11.19,2.56,23.3,535,7.71,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,10,10.043,10.64,0.94,8.5,547,7.56,85.9,0.0859,,18.27,0.01827,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,11,11.046,10.32,0.64,5.7,560,7.47,96.2,0.0962,,44.79,0.04479,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/2/2012,10:00,11.73399925,11.734,9.41,0.38,3.3,595,7.07,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,0,0.391,19.47,12.6,137.3,478,8.76,36,0.036,,4.04,0.00404,6,1.07,,23.3,,1.61,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,1,1.074,19.41,13.02,141.7,479,8.79,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,2,2.057,19.29,13.03,141.4,478,8.78,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,3,3.022,17.11,10.11,104.9,490,8.4,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,4,4.068,16.28,8.56,87.3,482,8.28,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,5,5.074,15.38,6.62,66.3,496,8.07,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,6,6.054,14.31,4.21,41.2,507,7.86,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,7,7.023,13.03,2.11,20.1,516,7.7,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,8,8.047,12.21,0.92,8.6,522,7.6,41.9,0.0419,,8.57,0.00857,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,9,9.026,11.79,0.58,5.4,527,7.53,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,10,10.035,11.2,0.41,3.8,535,7.37,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,11,11.089,11.06,0.4,3.7,539,7.34,131,0.131,,78.66,0.07866,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,12,12.007,10.92,0.4,3.6,542,7.3,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/15/2012,10:00,12.07699966,12.077,10.83,0.48,4.4,545,7.27,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,0,0.358,19.93,9.32,102.5,478,8.31,48.2,0.0482,,4.63,0.00463,6,1.41,,37.6,,1.2,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,1,1.05,19.57,8.98,98.1,478,8.16,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,2,2.031,19.46,8.64,94.1,479,8.14,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,3,3.051,19.41,8.06,87.7,480,8.09,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,4,4.014,19.4,7.93,86.3,480,8.07,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,5,5.026,19.36,7.61,82.7,482,8.01,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,6,6.017,18.73,5.91,63.4,486,7.78,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,7,7.083,15.85,0.93,9.4,523,7.34,39.9,0.0399,,7.23,0.00723,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,8,8.006,13.14,0.66,6.3,542,7.26,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,9,9.049,12.31,0.48,4.5,547,7.1,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,10,10.032,11.75,0.41,3.8,557,6.95,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,11,11.043,11.52,0.36,3.3,563,6.84,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,12,12.031,11.2,0.36,3.3,572,6.78,285.6,0.2856,,230.7,0.2307,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,5/30/2012,10:00,12.31199932,12.312,11.1,0.31,2.8,612,6.53,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,0,0.343,22.81,8.61,100.2,481,8.13,70,0.07,,21.95,0.02195,,1.46,,35.7,,1.09,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,1,1.043,22.73,7.81,90.7,482,8.31,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,2,2.079,22.56,7.84,90.8,482,8.28,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,3,3.015,22.25,7.35,84.5,483,8.21,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,4,4.061,22.16,6.75,77.5,484,8.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,5,5.051,20.47,0.99,11,498,7.52,45.2,0.0452,,22.65,0.02265,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,6,6.043,18.15,0.72,7.6,508,7.5,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,7,7.049,17.2,0.59,6.1,518,7.48,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,8,8.05,14.23,0.5,4.9,554,7.41,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,9,9.049,12.67,0.4,3.8,567,7.22,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,10,10.051,11.94,0.38,3.6,577,7.06,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,11,11.07,11.54,0.38,3.5,586,6.92,454.1,0.4541,,326.74,0.32674,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/12/2012,10:00,11.9819994,11.982,11.23,0.34,3.1,621,6.63,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/26/2012,10:00,0,0.269,24.16,10.58,126.2,448,8.71,68.6,0.0686,,1.33,0.00133,6,2.02,,58.5,,0.8,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/26/2012,10:00,1,1.073,24.06,10.75,128,448,8.67,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/26/2012,10:00,2,2.037,23.97,10.57,125.6,449,8.57,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/26/2012,10:00,3,3.066,23.85,10.37,123,450,8.47,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/26/2012,10:00,4,4.067,23.72,9.81,116.1,452,8.4,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/26/2012,10:00,5,5.013,21.75,0.91,10.3,473,7.24,60.1,0.0601,,9.39,0.00939,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,6/26/2012,10:00,6,6.04,19.42,0.66,7.2,501,7.28,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.
