,,,,,,,,,,,"TP, µg/l",,,"SRP, µg/l",,,"TN, mg/l",,"CLA, µg/l",,"Secchi, m","Chloride, mg/l","TSS, mg/l",,"VSS, mg/l",,

Site,Site_ID,Date,Time,Depth,Sonde Depth,"Temp, oC","DO, mg/l","DO, Sat %","SpCond, µS/cm",pH,TP Value,"TP, mg/l",TP RL,SRP Value ug/l,"SRP, mg/l",SRP RL,TN Value mg/l,TN RL,CLA Value ug/l,CLA RL,"Secchi Value, m","Chloride value, mg/l","TSS Value, mg/l",TSS RL,"VSS Value, mg/l",VSS RL,Comments

Fish-Prior & Spring Lake WD,FL_3R,5/9/2012,10:00,9,9.007,11.55,0.87,8,464,7.09,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/9/2012,10:00,9.151999474,9.152,11.56,0.26,2.3,466,7,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,0,0.221,18.98,12.66,136.6,411,8.94,40,0.04,,4.55,0.00455,6,0.96,,15,,2.5,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,1,1.029,18.92,12.61,135.9,412,8.95,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,2,2.045,18.89,12.49,134.5,411,8.94,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,3,3.01,18.54,12.42,132.8,413,8.91,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,4,4.093,15.41,9.36,93.8,422,8.55,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,5,5.058,14.11,8,77.9,430,8.31,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,6,6.041,12.36,3.71,34.8,442,7.81,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,7,7.058,11.47,0.95,8.7,447,7.59,41.4,0.0414,,6.02,0.00602,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,8,8.066,11.42,0.77,7.1,449,7.56,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,9,9.017,11.23,0.51,4.7,454,7.49,87.5,0.0875,,17.59,0.01759,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/15/2012,10:00,9.073999405,9.074,11.21,0.48,4.4,454,7.48,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,0,0.289,19.49,9.85,107.4,413,8.52,44.3,0.0443,,3.89,0.00389,6,1.18,,35.4,,1.3,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,1,1.046,19.43,9.79,106.6,413,8.48,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,2,2.058,19.13,9.46,102.3,413,8.45,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,3,3.016,19.11,9.26,100.2,414,8.43,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,4,4.053,19.07,9.2,99.4,414,8.43,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,5,5.034,18.53,6.41,68.6,421,8.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,6,6.066,14.18,0.77,7.5,455,7.35,44.5,0.0445,,8.14,0.00814,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,7,7.074,12.57,0.52,4.9,464,7.27,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,8,8.058,11.77,0.45,4.2,473,7.16,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,9,9.003,11.5,0.4,3.7,487,6.96,80.8,0.0808,,37.83,0.03783,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,5/30/2012,10:00,9.12899971,9.129,11.43,0.33,3.1,507,6.62,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,0,0.283,22.2,8.49,97.6,405,8.67,42.3,0.0423,,6.21,0.00621,,1.1,,30.1,,1.1,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,1,1.07,22.16,8.4,96.4,405,8.62,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,2,2.063,22.1,8.36,95.9,405,8.54,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,3,3.074,21.98,7.95,91,406,8.43,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,4,4.038,21.04,3.32,37.3,416,7.93,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,5,5.067,17.06,0.82,8.5,443,7.42,38.6,0.0386,,4.01,0.00401,6,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,6,6.047,14.7,0.4,3.9,468,7.23,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,7,7.058,12.91,0.37,3.5,482,7.09,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,8,8.046,11.96,0.33,3.1,495,6.87,320.2,0.3202,,140.67,0.14067,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/12/2012,10:00,8.949999809,8.95,11.74,0.32,3,512,6.66,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,0,0.29,23.86,9.71,115.2,387,8.72,40.5,0.0405,,5.16,0.00516,6,1.16,,24.2,,1.12,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,1,1.045,23.86,9.82,116.4,388,8.72,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,2,2.041,23.85,9.84,116.6,388,8.69,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,3,3.034,23.65,8.48,100.2,390,8.56,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

